Feature 1,Feature 2,Otolith type
-7.5481234,14.9781475,Sprattus sprattus
-17.780174,35.667053,Sprattus sprattus
-15.377933,18.231955,Sprattus sprattus
-6.6923437,-19.511194,Clupea harengus
4.1022005,-30.15974,Clupea harengus
-14.709785,34.62432,Sprattus sprattus
1.2863355,-37.044582,Clupea harengus
-12.0061035,22.384344,Sprattus sprattus
-18.118546,-13.697921,Clupea harengus
-13.98541,26.967869,Sprattus sprattus
-5.4065504,21.016935,Sprattus sprattus
-18.100166,27.785929,Sprattus sprattus
-2.460489,30.32553,Sprattus sprattus
-10.659852,16.6395,Sprattus sprattus
-2.3958428,22.429491,Sprattus sprattus
-30.726593,-7.5382442,Clupea harengus
-19.980984,40.134506,Sprattus sprattus
2.2136343,26.743973,Sprattus sprattus
23.22319,34.56373,Clupea harengus
-9.252594,25.526634,Sprattus sprattus
-9.513396,-4.4200826,Clupea harengus
-32.993958,-22.523102,Clupea harengus
21.026014,2.3794384,Ammodytes tobianus
-7.968188,17.880836,Sprattus sprattus
-24.850275,-15.353507,Clupea harengus
32.57977,-10.268969,Ammodytes tobianus
27.147491,-3.5084565,Ammodytes tobianus
28.743187,-10.802315,Ammodytes tobianus
-25.304665,-11.531543,Clupea harengus
37.81199,-24.817541,Hyperoplus lanceolatus
-13.714069,-16.039452,Clupea harengus
26.123945,0.12042847,Ammodytes tobianus
-3.661808,-22.03839,Clupea harengus
50.585503,20.078028,Ammodytes marinus
23.371607,37.121883,Alosa fallax
-7.7652674,-17.166788,Clupea harengus
-29.481462,-23.060349,Clupea harengus
54.672543,12.251195,Ammodytes marinus
4.2145705,29.221014,Sprattus sprattus
-25.691013,-21.507051,Clupea harengus
-9.158513,-21.473768,Clupea harengus
-11.930567,27.956171,Sprattus sprattus
20.056097,-2.8715954,Ammodytes tobianus
-1.1069703,-40.583767,Clupea harengus
-9.577899,-10.751223,Clupea harengus
-8.734843,24.032854,Sprattus sprattus
-18.112429,-13.336234,Clupea harengus
53.236713,12.0673485,Ammodytes marinus
-29.687017,-20.624804,Clupea harengus
4.3541594,-36.22159,Clupea harengus
-5.70835,-21.963186,Clupea harengus
-17.224234,-17.702765,Clupea harengus
-9.336608,22.145018,Sprattus sprattus
-2.7698336,-20.474426,Clupea harengus
37.258263,-24.361307,Hyperoplus lanceolatus
26.196978,-4.6645865,Ammodytes tobianus
-3.6807501,31.879734,Sprattus sprattus
49.99418,11.199137,Ammodytes marinus
-25.264904,-24.734957,Clupea harengus
5.4503655,-34.474255,Clupea harengus
-16.86402,37.369263,Sprattus sprattus
-11.003856,-4.9934864,Clupea harengus
-17.753555,16.774803,Sprattus sprattus
-28.657274,-24.29247,Clupea harengus
52.125233,18.18635,Ammodytes marinus
-3.531367,-38.322258,Clupea harengus
24.942482,-1.2956834,Ammodytes tobianus
38.092403,-28.146904,Hyperoplus lanceolatus
-14.503327,24.89009,Sprattus sprattus
52.262367,15.193396,Ammodytes marinus
-15.359225,-16.4136,Clupea harengus
-4.6045427,-39.07103,Clupea harengus
-16.280842,22.997877,Sprattus sprattus
-4.3492765,-37.365253,Clupea harengus
0.7059441,-32.34194,Clupea harengus
51.86907,13.726394,Ammodytes marinus
-18.379986,34.080345,Sprattus sprattus
-31.14836,-15.727379,Clupea harengus
19.586323,-0.93081033,Ammodytes tobianus
22.486507,2.2351708,Ammodytes tobianus
-29.523937,-4.081566,Clupea harengus
